"","nleaf","L1","L2","MSE"
"587",25,1e+08,5000,4568582189248.16
"588",25,1e+08,10000,4509212149954.92
"589",25,1e+08,20000,4512438878604.64
"590",30,0,0,5006143238972.05
"591",30,0,100,4698194807013.77
"592",30,0,500,4415608994273.76
"593",30,0,1000,4540099149718.8
"594",30,0,5000,4314840122105.86
"595",30,0,10000,4347530797220.62
"596",30,0,20000,4347555475488.02
"597",30,1e+05,0,5023350875033.63
"598",30,1e+05,100,4617028192897.59
"599",30,1e+05,500,4481748058296.23
"600",30,1e+05,1000,4537370074400.24
"601",30,1e+05,5000,4304881276990.52
"602",30,1e+05,10000,4236404971752.01
"603",30,1e+05,20000,4371374291835.6
"604",30,5e+05,0,5156087335321.56
"605",30,5e+05,100,4724585887060.1
"606",30,5e+05,500,4522842805541.53
"607",30,5e+05,1000,4515400217983.06
"608",30,5e+05,5000,4290583067029.79
"609",30,5e+05,10000,4321310292749.39
"610",30,5e+05,20000,4311587518996.67
"611",30,1e+06,0,4975122270466.54
"612",30,1e+06,100,4575892623521.49
"613",30,1e+06,500,4545956732418.51
"614",30,1e+06,1000,4614185410911.83
"615",30,1e+06,5000,4330373739340.71
"616",30,1e+06,10000,4270669262410.59
"617",30,1e+06,20000,4305752509446.54
"618",30,5e+06,0,5409201591889.94
"619",30,5e+06,100,4669633518913.22
"620",30,5e+06,500,4434025852051.28
"621",30,5e+06,1000,4335949472993.78
"622",30,5e+06,5000,4332336817675.43
"623",30,5e+06,10000,4294064861979.35
"624",30,5e+06,20000,4325057932199.53
"625",30,1e+08,0,5180520913103.99
"626",30,1e+08,100,4890385094565.33
"627",30,1e+08,500,4773743843878.93
"628",30,1e+08,1000,4639846768739.44
"629",30,1e+08,5000,4577754365171.6
"630",30,1e+08,10000,4552038846968.98
"631",30,1e+08,20000,4558633051615.36
