"","yearID","l_W","l_L","l_GS","l_CG","l_SHO","l_SV","l_IPouts","l_H","l_ER","l_HR","l_BB","l_SO","l_IBB","l_WP","l_HBP","l_BK","l_BFP","l_GF","l_R","l_SH","l_SF","l_GIDP","l_ERA","l_BAOpp","round","po_W","po_L","po_G","po_GS","po_CG","po_SHO","po_SV","po_IPouts","po_H","po_ER","po_HR","po_BB","po_SO","po_IBB","po_WP","po_HBP","po_BK","po_BFP","po_GF","po_R","po_SH","po_SF","po_GIDP","po_ERA","po_BAOpp","GP","n_award","Rank","W","PPF","salary","l_GM","attendance.f","career","years_old","teamID.1","teamID.2","teamID.3","teamID.4","teamID.5","teamID.6","teamID.7","teamID.8","teamID.9","teamID.10","teamID.11","teamID.12","teamID.13","teamID.14","teamID.15","teamID.16","teamID.17","teamID.18","teamID.19","teamID.20","teamID.21","teamID.22","teamID.23","teamID.24","teamID.25","teamID.26","teamID.27","teamID.28","teamID.29","teamID.30","teamID.31","teamID.32","teamID.33","throws.1","throws.2","stint.1","stint.2","stint.3","stint.4"
"1017",2013,16,8,26,2,0,0,483,134,54,9,63,163,0,7,0,2,666,0,54,3,1,12,3.01863354037267,0.201201201201201,1,1,0,2,2,0,0,0,39,7,3,0,3,10,0,1,2,0,50,0,3,0,0,1,2.07692307692308,0.14,0,0,2,94,94,6e+06,0,1,8,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"1018",2006,2,2,0,0,0,0,101,38,17,5,19,18,3,3,1,0,157,6,19,2,1,3,4.54455445544555,0.24203821656051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,61,101,391100,40,0,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"1019",2009,2,3,0,0,0,0,135,47,30,6,23,47,2,5,0,1,202,15,30,3,1,4,6,0.232673267326733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,98,410000,43,3,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
"1020",2011,1,3,0,0,0,0,160,53,25,8,17,54,5,1,4,0,232,15,26,2,1,2,4.21875,0.228448275862069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,79,100,2500000,59,1,11,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"1021",2005,12,11,31,2,1,0,613,216,85,22,28,102,1,1,7,0,842,0,95,7,7,17,3.74388254486134,0.256532066508314,1,1,0,3,3,0,0,0,43,17,8,2,4,4,0,0,2,0,65,0,8,1,1,0,5.02325581395349,0.261538461538462,0,0,1,95,97,7e+06,0,3,10,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
"1022",2007,1,2,0,0,0,0,88,30,14,9,16,23,0,1,1,0,128,7,16,1,0,1,4.29545454545455,0.234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,107,409500,30,1,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"1023",2003,1,3,0,0,0,1,136,58,27,7,14,34,2,1,3,0,207,20,27,1,1,4,5.36029411764706,0.280193236714976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,71,99,3e+06,60,2,11,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"1024",2011,0,1,0,0,0,0,23,5,4,1,7,9,1,2,0,0,34,6,4,0,0,0,4.69565217391304,0.147058823529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,106,425000,8,3,12,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"1025",2003,12,10,31,0,0,0,535,179,86,24,58,147,3,5,5,4,773,0,92,3,4,9,4.34018691588785,0.231565329883571,1,0,0,2,1,0,0,0,27,2,0,0,2,7,0,0,1,0,34,0,1,0,0,1,0,0.0588235294117647,0,0,1,96,98,1900000,1,1,4,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"1026",2001,8,4,20,1,0,0,319,124,56,12,34,53,0,2,1,0,461,0,60,4,0,11,4.73981191222571,0.268980477223427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,66,105,246500,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"1027",2002,0,0,0,0,0,0,77,22,7,0,14,21,0,0,1,1,113,7,7,0,3,1,2.45454545454545,0.194690265486726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,75,97,3e+05,32,2,0,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"1028",2007,9,13,31,1,1,0,548,179,93,22,62,158,2,3,5,0,782,0,102,6,4,10,4.58211678832117,0.228900255754476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,73,100,451000,0,3,2,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"1029",2004,5,3,9,0,0,0,201,75,32,10,27,54,4,1,1,0,293,8,33,5,1,7,4.29850746268657,0.255972696245734,1,1,0,3,3,0,0,0,56,11,6,2,6,15,1,0,2,0,73,0,6,0,0,1,2.89285714285714,0.150684931506849,0,0,2,92,101,350000,24,3,2,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"1030",2012,1,0,0,0,0,0,15,5,4,2,6,2,1,0,1,0,29,0,4,1,2,0,7.2,0.172413793103448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,89,92,490000,4,3,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
"1031",2004,5,2,0,0,0,43,208,78,25,6,20,37,3,1,1,0,295,65,26,4,2,10,3.24519230769231,0.264406779661017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,72,100,2e+06,70,0,17,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
"1032",2011,13,11,32,2,1,0,578,178,79,21,50,162,8,5,2,0,798,0,91,8,6,7,3.69031141868512,0.223057644110276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,72,100,7e+06,0,0,13,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
