"","yearID","l_W","l_L","l_GS","l_CG","l_SHO","l_SV","l_IPouts","l_H","l_ER","l_HR","l_BB","l_SO","l_IBB","l_WP","l_HBP","l_BK","l_BFP","l_GF","l_R","l_SH","l_SF","l_GIDP","l_ERA","l_BAOpp","round","po_W","po_L","po_G","po_GS","po_CG","po_SHO","po_SV","po_IPouts","po_H","po_ER","po_HR","po_BB","po_SO","po_IBB","po_WP","po_HBP","po_BK","po_BFP","po_GF","po_R","po_SH","po_SF","po_GIDP","po_ERA","po_BAOpp","GP","n_award","Rank","W","PPF","salary","WHIP","FIP","ERC","ERAP","kwERA","BSR","l_GM","attendance.f","career","years_old","throws.1","throws.2","salary.n","b1.l_W","b1.l_GS","b1.l_GM","b1.l_CG","b1.l_ER","b1.l_IPouts","b1.l_H","b1.l_HR","b1.l_BB","b1.l_SO","b1.BSR","b2.l_W","b2.l_GS","b2.l_GM","b2.l_CG","b2.l_ER","b2.l_IPouts","b2.l_H","b2.l_HR","b2.l_BB","b2.l_SO","b2.BSR"
"5058",2003,3,3,0,0,0,11,251,75,34,1,27,39,8,3,5,0,350,29,37,9,1,12,3.65737051792829,0.214285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,75,102,1600000,1.2191235059761,3.28366533864542,2.71719149345475,13943.5988296229,5.91428571428571,27.2142326769432,64,0,10,30,1,0,1312342.61111111,10,27,2,0,92,461,188,9,74,67,100.259303337369,10,28,6,0,81,484,172,13,69,107,94.3166088789177
"5059",2004,7,4,0,0,0,4,193,57,17,1,19,48,0,2,6,1,268,27,21,3,1,5,2.37823834196891,0.212686567164179,1,2,2,9,0,0,0,0,31,6,3,3,2,7,1,1,1,0,40,3,4,0,0,1,2.61290322580645,0.15,0,0,1,105,99,2600000,1.18134715025907,3.07564766839378,2.86900334080891,20812.4633104918,6.42985074626866,20.54255663005,77,3,11,31,1,0,1771305.55555556,3,0,64,0,34,251,75,1,27,39,27.2142326769432,10,27,2,0,92,461,188,9,74,67,100.259303337369
"5060",2005,2,3,0,0,0,4,197,68,25,6,19,47,4,1,8,0,278,16,28,3,3,14,3.42639593908629,0.244604316546763,1,0,0,5,0,0,0,0,14,9,4,1,1,2,0,2,1,0,25,1,4,0,0,0,7.71428571428571,0.36,0,0,1,100,100,3350000,1.3248730964467,4.00710659898477,4.28706128802542,14591.7076729653,6.43597122302158,35.5300752035985,74,3,12,32,1,0,3157439.1875,7,0,77,0,17,193,57,1,19,48,20.54255663005,3,0,64,0,34,251,75,1,27,39,27.2142326769432
"5061",2006,5,4,6,1,0,1,296,110,49,10,44,56,3,2,6,0,431,11,54,3,3,24,4.46959459459459,0.255220417633411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,86,104,3350000,1.56081081081081,4.81148648648649,5.31898037248385,11633.4592614877,5.65058004640371,65.2953906236004,52,2,13,33,1,0,3679561.13333333,2,0,74,0,25,197,68,6,19,47,35.5300752035985,7,0,77,0,17,193,57,1,19,48,20.54255663005
"5062",2007,7,11,23,0,0,0,404,151,77,14,51,77,4,4,7,0,604,2,89,3,5,17,5.1460396039604,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,96,105,3850000,1.5,4.61089108910891,4.83061140437512,10201.4015341682,5.85695364238411,87.0461579189129,11,2,14,34,1,0,2959160.5,5,6,52,1,49,296,110,10,44,56,65.2953906236004,2,0,74,0,25,197,68,6,19,47,35.5300752035985
"5063",2008,1,5,0,0,0,0,164,73,31,5,28,51,4,2,3,1,267,15,42,5,2,4,5.10365853658537,0.273408239700375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,95,106,5e+05,1.84756097560976,4.00487804878049,6.42169043573582,10384.0775416255,6.47865168539326,43.9089067825915,52,3,15,35,1,0,2477735.23529412,7,23,11,0,77,404,151,14,51,77,87.0461579189129,5,6,52,1,49,296,110,10,44,56,65.2953906236004
"5064",2009,3,7,0,0,0,1,105,34,19,1,27,32,2,2,2,0,169,9,27,1,3,1,4.88571428571429,0.201183431952663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,59,101,5e+05,1.74285714285714,4.05714285714286,4.76389035502959,10335.630501723,5.75502958579882,18.724285399488,42,0,16,36,1,0,997857.142857143,1,0,52,0,31,164,73,5,28,51,43.9089067825915,7,23,11,0,77,404,151,14,51,77,87.0461579189129
"5065",2000,1,3,0,0,0,0,41,13,13,2,9,13,2,0,2,0,62,7,13,0,0,1,8.5609756097561,0.209677419354839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,69,100,2500000,1.60975609756098,5.17560975609756,5.67182517702596,5840.10166528287,6.1741935483871,10.0136209148628,17,0,6,39,1,0,1498398.16666667,1,0,61,0,31,169,68,5,23,52,38.1738453602978,4,0,70,0,29,219,71,7,22,58,37.9237170736385
"5066",2001,0,0,0,0,0,0,6,2,1,1,0,3,0,0,0,0,8,0,1,0,0,0,4.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,62,105,2500000,1,6.7,4.70156875,11665.9591801626,9.9,2.36208779209434,1,2,7,40,1,0,1659394.73684211,1,0,17,0,13,41,13,2,9,13,10.0136209148628,1,0,61,0,31,169,68,5,23,52,38.1738453602978
"5067",2012,1,1,0,0,0,1,132,37,7,1,5,45,0,0,2,0,172,13,7,1,1,3,1.43181818181818,0.215116279069767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,69,106,815000,0.954545454545455,1.92727272727273,1.93541744186046,37013.6283103935,8.05116279069767,11.5300158574341,37,3,3,26,1,0,3299866.65217391,0,0,3,0,2,9,3,1,1,4,3.0325235419799,2,4,2,0,21,76,43,4,9,13,28.2900152291374
"5068",2013,5,4,0,0,0,0,205,70,24,9,12,72,1,3,1,1,284,10,25,2,5,2,3.1609756097561,0.246478873239437,1,1,0,13,0,0,0,0,22,6,1,0,1,6,0,1,0,0,26,0,1,0,0,3,1.22727272727273,0.230769230769231,0,0,1,97,102,1275000,1.2,3.33170731707317,3.55455413861216,16133.2808503439,7.93521126760563,39.154457331472,71,2,4,27,1,0,4104050,1,0,37,0,7,132,37,1,5,45,11.5300158574341,0,0,3,0,2,9,3,1,1,4,3.0325235419799
"5069",2014,4,3,0,0,0,0,189,58,20,5,17,64,1,5,0,0,261,12,23,1,1,3,2.85714285714286,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,71,101,2250000,1.19047619047619,2.96190476190476,2.96866789819376,17673.9281579463,7.60689655172414,28.3555964820529,71,2,5,28,1,0,4002425,5,0,71,0,24,205,70,9,12,72,39.154457331472,1,0,37,0,7,132,37,1,5,45,11.5300158574341
"5070",2015,2,7,0,0,0,3,176,65,27,5,13,56,1,9,1,1,247,13,28,0,1,5,4.14204545454546,0.263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,78,107,3375000,1.32954545454545,3.06363636363636,3.95883743559072,12915.5404633052,7.48906882591093,32.018210943428,61,2,6,29,1,0,4682471.2,4,0,71,0,20,189,58,5,17,64,28.3555964820529,5,0,71,0,24,205,70,9,12,72,39.154457331472
"5071",2013,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,86,103,488000,1.5,3.2,4.466275,15032.1902189941,5.4,0.347428869746802,1,0,2,29,0,1,3439673.61111111,1,5,13,0,34,184,68,11,21,35,47.590294731067,2,3,23,0,16,132,36,8,14,28,26.6886268130676
"5072",2015,0,0,0,0,0,0,17,5,1,0,3,4,1,0,1,0,24,2,1,0,0,2,1.58823529411765,0.208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,80,102,488000,1.41176470588235,3.37647058823529,3.76679963235294,32109.1638387332,5.9,1.99664518407345,4,0,4,31,0,1,1782721.22727273,0,0,1,0,0,2,1,0,0,0,0.347428869746802,1,5,13,0,34,184,68,11,21,35,47.590294731067
