"","yearID","l_W","l_L","l_GS","l_CG","l_SHO","l_SV","l_IPouts","l_H","l_ER","l_HR","l_BB","l_SO","l_IBB","l_WP","l_HBP","l_BK","l_BFP","l_GF","l_R","l_SH","l_SF","l_GIDP","l_ERA","l_BAOpp","round","po_W","po_L","po_G","po_GS","po_CG","po_SHO","po_SV","po_IPouts","po_H","po_ER","po_HR","po_BB","po_SO","po_IBB","po_WP","po_HBP","po_BK","po_BFP","po_GF","po_R","po_SH","po_SF","po_GIDP","po_ERA","po_BAOpp","GP","n_award","Rank","W","PPF","salary","WHIP","FIP","ERC","ERAP","kwERA","BSR","l_GM","attendance.f","career","years_old","teamID.1","teamID.2","teamID.3","teamID.4","teamID.5","teamID.6","teamID.7","teamID.8","teamID.9","teamID.10","teamID.11","teamID.12","teamID.13","teamID.14","teamID.15","teamID.16","teamID.17","teamID.18","teamID.19","teamID.20","teamID.21","teamID.22","teamID.23","teamID.24","teamID.25","teamID.26","teamID.27","teamID.28","teamID.29","teamID.30","teamID.31","teamID.32","teamID.33","throws.1","throws.2"
"6725",2010,3,4,0,0,0,12,177,85,48,7,21,49,4,4,2,0,281,29,56,4,4,8,7.32203389830508,0.302491103202847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,65,105,1500000,1.79661016949153,4.04745762711864,6.63265342903673,7169.70407947494,6.68113879003559,50.9924854573934,70,1,6,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"6726",2011,6,8,0,0,0,0,223,73,29,7,20,43,5,4,0,0,306,20,30,7,1,6,3.51121076233184,0.238562091503268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,71,92,1150000,1.25112107623318,3.87264573991031,3.37877569242944,13100.0995369576,6.49803921568627,37.9491488476249,77,1,7,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"6727",2012,2,1,0,0,0,0,157,63,31,7,14,27,4,3,0,0,231,15,34,2,2,5,5.3312101910828,0.272727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,81,101,1150000,1.47133757961783,4.48025477707006,4.77517707006369,9471.94647823034,6.28311688311688,37.3122001739113,60,3,8,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"6728",2013,5,2,0,0,0,0,186,57,18,4,19,49,7,1,2,0,252,12,18,4,0,11,2.61290322580645,0.226190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,62,103,2700000,1.2258064516129,3.13548387096774,3.09190743087558,19708.6813027827,7.06666666666667,26.818406939263,66,0,9,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"6729",2014,1,5,0,0,0,19,154,54,19,5,5,43,2,1,2,0,213,41,22,2,0,5,3.33116883116883,0.253521126760563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,70,102,3e+06,1.14935064935065,3.08311688311688,3.22237350923724,15309.0130995818,7.54084507042254,25.4566607701728,58,0,10,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6730",2015,3,5,0,0,0,4,148,46,24,6,9,46,1,3,2,0,202,17,24,1,4,2,4.37837837837838,0.227722772277228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,86,99,2250000,1.11486486486486,3.52432432432432,3.12781382124699,11304.8699674433,7.53861386138614,25.0348327622079,60,1,11,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6731",1998,3,4,0,0,0,7,240,88,23,5,22,59,6,1,3,0,345,32,26,7,4,12,2.5875,0.255072463768116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,88,99,5e+05,1.375,3.25,3.90399805978261,19129.2746805151,6.79130434782609,41.2379117316701,82,2,6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6732",1999,3,2,0,0,0,0,146,53,18,5,17,28,1,0,4,0,212,13,19,1,2,6,3.32876712328767,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,84,101,1800000,1.43835616438356,4.61780821917808,4.77283706384079,15169.8619109945,5.85283018867925,29.9095169173173,41,1,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6733",2000,2,5,0,0,0,1,251,100,42,7,25,47,1,1,2,0,367,24,45,1,3,9,4.51792828685259,0.272479564032698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,83,103,1800000,1.49402390438247,4.09641434262948,4.77635402965793,11398.3387258029,6.0866485013624,51.8678500986193,68,0,8,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6734",2001,11,2,0,0,0,2,249,86,28,6,12,58,7,0,6,0,341,20,29,7,2,13,3.03614457831325,0.252199413489736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,80,103,2833333,1.18072289156627,3.13975903614458,3.30517104193902,16961.2729644915,7.05395894428153,37.8769027842145,80,1,9,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6735",2002,5,4,0,0,0,1,230,80,23,1,25,53,7,0,3,0,330,22,27,1,1,8,2.7,0.242424242424242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,92,92,3333333,1.3695652173913,2.80869565217391,3.41863227667984,17036.0038821422,6.56363636363636,31.0010723392582,86,3,10,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"6736",2003,2,5,0,0,0,1,232,61,15,2,15,44,2,0,3,0,291,21,18,4,0,16,1.74568965517241,0.209621993127148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,85,94,3e+06,0.982758620689655,3.01896551724138,2.03010911615713,26921.8241059245,6.55463917525773,20.5368247137579,89,3,11,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"6737",2004,7,3,0,0,0,1,286,124,50,5,20,37,9,0,4,0,424,17,54,3,4,8,4.72027972027972,0.292452830188679,1,1,1,6,0,0,0,0,16,10,2,1,0,3,0,0,0,0,26,2,2,0,0,0,3.375,0.384615384615385,0,0,1,101,97,3e+06,1.51048951048951,3.57762237762238,4.68336762600607,10274.1917325737,6.02264150943396,55.9319953826526,86,3,12,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6738",2005,2,2,0,0,0,0,207,93,41,8,14,36,3,0,3,1,309,15,44,0,10,5,5.34782608695652,0.300970873786408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,97,3e+06,1.55072463768116,4.27246376811594,5.53484276065851,9068.55572506718,6.25436893203883,50.9610853681565,50,3,13,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
