"","yearID","l_W","l_L","l_GS","l_CG","l_SHO","l_SV","l_IPouts","l_H","l_ER","l_HR","l_BB","l_SO","l_IBB","l_WP","l_HBP","l_BK","l_BFP","l_GF","l_R","l_SH","l_SF","l_GIDP","l_ERA","l_BAOpp","round","po_W","po_L","po_G","po_GS","po_CG","po_SHO","po_SV","po_IPouts","po_H","po_ER","po_HR","po_BB","po_SO","po_IBB","po_WP","po_HBP","po_BK","po_BFP","po_GF","po_R","po_SH","po_SF","po_GIDP","po_ERA","po_BAOpp","GP","n_award","Rank","W","PPF","salary","WHIP","FIP","ERC","ERAP","kwERA","BSR","l_GM","attendance.f","career","years_old","teamID.1","teamID.2","teamID.3","teamID.4","teamID.5","teamID.6","teamID.7","teamID.8","teamID.9","teamID.10","teamID.11","teamID.12","teamID.13","teamID.14","teamID.15","teamID.16","teamID.17","teamID.18","teamID.19","teamID.20","teamID.21","teamID.22","teamID.23","teamID.24","teamID.25","teamID.26","teamID.27","teamID.28","teamID.29","teamID.30","teamID.31","teamID.32","teamID.33","throws.1","throws.2","stint.1","stint.2","stint.3","stint.4"
"6838",2006,4,5,0,0,0,2,274,78,34,13,36,86,6,4,2,1,383,19,37,1,6,2,3.35036496350365,0.203655352480418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,71,95,455000,1.24817518248175,4.21824817518248,3.52285606334928,14176.7001615141,7.09190600522193,52.6105239049068,85,1,4,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"8648",2015,4,3,0,0,0,2,183,50,20,6,21,55,2,1,2,0,250,20,21,1,2,3,2.95081967213115,0.2,1,0,0,1,0,0,0,0,6,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,100,101,1490314,1.16393442622951,3.70819672131148,2.98417249836066,17112.8510735671,7.032,27.8946071721872,35,3,9,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"7460",2008,6,4,11,0,0,0,352,118,55,8,23,61,5,0,3,0,478,6,60,3,5,17,4.21875,0.246861924686192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,86,98,449000,1.20170454545455,3.58352272727273,3.20896096424496,11614.1104726952,6.40418410041841,52.7413125049199,43,2,2,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"3749",1999,4,3,0,0,0,0,146,50,20,3,25,35,8,0,1,2,219,9,21,2,0,1,3.6986301369863,0.228310502283105,1,0,0,1,0,0,0,0,4,1,4,0,3,0,1,0,0,0,8,0,4,1,0,0,27,0.125,0,0,1,100,101,1916667,1.54109589041096,3.67260273972603,4.1414025708388,13652.8757198951,6.33150684931507,26.9182219689414,44,3,9,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"256",1999,7,12,24,2,0,0,422,162,81,23,60,107,2,2,14,0,630,0,84,5,3,15,5.1824644549763,0.257142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,69,102,325000,1.5781990521327,5.33981042654028,6.08992834800271,9840.28114738232,6.06666666666667,112.964053373513,0,0,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"2131",2005,0,1,1,0,0,0,44,13,3,1,5,15,1,1,0,0,62,3,6,1,1,3,1.84090909090909,0.209677419354839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,95,104,335700,1.22727272727273,2.85909090909091,2.86113357771261,28245.2006393779,7.52903225806452,6.3515552043675,7,2,1,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"1508",2000,0,1,0,0,0,0,51,14,9,3,8,12,0,1,1,0,75,6,10,0,1,0,4.76470588235294,0.186666666666667,1,0,0,2,0,0,0,0,5,0,1,0,1,2,0,0,0,0,6,0,1,0,0,0,5.4,0,0,0,1,87,98,2e+05,1.29411764705882,5.67058823529412,3.98692952941177,10283.3269810322,5.88,11.0828264815464,22,3,0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"5482",2010,0,1,0,0,0,0,108,30,16,2,16,22,0,4,2,0,151,3,17,2,2,2,4,0.198675496688742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,86,97,2e+06,1.27777777777778,4.2,3.29228609271523,12124.2647193833,5.71788079470199,14.8361189494248,57,3,14,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"9398",2009,2,4,0,0,0,7,220,82,25,2,28,54,4,0,1,0,313,23,27,1,3,14,3.06818181818182,0.261980830670927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,75,99,410000,1.5,3.10454545454545,4.24825692709846,16132.3549805677,6.51182108626198,36.0533377874283,69,0,1,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"3971",2005,6,9,20,1,0,0,366,130,68,11,62,75,4,8,5,0,551,0,73,6,3,16,5.01639344262295,0.235934664246824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,67,113,4500000,1.57377049180328,4.69180327868852,4.90910311579542,11262.388883594,5.66134301270417,77.096642000059,0,1,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
