"","yearID","l_W","l_L","l_GS","l_CG","l_SHO","l_SV","l_IPouts","l_H","l_ER","l_HR","l_BB","l_SO","l_IBB","l_WP","l_HBP","l_BK","l_BFP","l_GF","l_R","l_SH","l_SF","l_GIDP","l_ERA","l_BAOpp","round","po_W","po_L","po_G","po_GS","po_CG","po_SHO","po_SV","po_IPouts","po_H","po_ER","po_HR","po_BB","po_SO","po_IBB","po_WP","po_HBP","po_BK","po_BFP","po_GF","po_R","po_SH","po_SF","po_GIDP","po_ERA","po_BAOpp","GP","n_award","Rank","W","PPF","salary","WHIP","FIP","ERC","ERAP","kwERA","BSR","l_GM","attendance.f","career","years_old","teamID.1","teamID.2","teamID.3","teamID.4","teamID.5","teamID.6","teamID.7","teamID.8","teamID.9","teamID.10","teamID.11","teamID.12","teamID.13","teamID.14","teamID.15","teamID.16","teamID.17","teamID.18","teamID.19","teamID.20","teamID.21","teamID.22","teamID.23","teamID.24","teamID.25","teamID.26","teamID.27","teamID.28","teamID.29","teamID.30","teamID.31","teamID.32","teamID.33","throws.1","throws.2","stint.1","stint.2","stint.3","stint.4","b1.WHIP","b1.FIP","b1.ERC","b1.ERAP","b1.kwERA","b1.BSR","b1.round","b1.Rank","b1.attendance.f","b1.l_GM","b1.salary","b2.WHIP","b2.FIP","b2.ERC","b2.ERAP","b2.kwERA","b2.BSR","b2.round","b2.Rank","b2.attendance.f","b2.l_GM","b2.salary"
"39",2011,3,3,0,0,0,0,201,52,15,1,21,45,1,2,2,0,267,13,16,2,2,5,2.01492537313433,0.194756554307116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,80,97,1750000,1.08955223880597,3.03582089552239,2.18861667784672,24068.9107021831,6.43370786516854,18.12907108522,71,0,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.35,4.625,3.52816860294118,12156.1255322703,6.03529411764706,20.0783501180552,0,4,0,53,870000,1.26470588235294,4.11176470588235,3.49281501657001,13802.5817406319,6.83661971830986,18.346438350566,0,4,0,37,427500
"40",2012,3,1,7,0,0,0,113,31,7,3,15,39,0,1,0,0,156,0,8,1,1,1,1.67256637168142,0.198717948717949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,72,100,1900000,1.2212389380531,3.35929203539823,2.98778835942818,29892.3670602805,7.24615384615385,16.5606597080879,0,0,5,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.44258373205742,3.81722488038278,4.60097449916528,13012.6300604492,6.8424040066778,81.9483793174797,0,4,2,19,1900000,1.53818181818182,3.42909090909091,4.29316138553417,9401.1392660651,6.50948905109489,47.4480053787539,0,4,1,5,790000
"41",2009,7,4,0,0,0,1,214,79,32,7,39,52,1,4,2,0,326,18,37,4,1,9,4.03738317757009,0.242331288343558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,85,96,1e+06,1.65420560747664,4.7,5.37255684880454,11888.1679264514,5.84171779141104,49.0360500847938,56,1,17,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.86086956521739,6.13913043478261,6.91675126681264,7746.05801516154,5.2705035971223,106.316409860487,0,4,1,24,9500000,1.52331606217617,4.43316062176166,4.80816380949512,11304.2661393284,6,120.522247212692,0,2,2,1,9500000
"42",2005,2,1,3,0,0,0,168,64,38,7,16,28,2,1,2,0,244,7,39,0,4,5,6.10714285714286,0.262295081967213,1,0,0,1,0,0,0,0,7,2,4,1,1,0,0,0,1,0,11,0,4,0,0,0,15.4285714285714,0.181818181818182,0,0,2,95,104,1700000,1.42857142857143,4.68214285714286,4.70852010392272,8514.10354201341,5.99016393442623,37.3328474081058,25,2,8,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.82781456953642,6.02119205298013,7.77347429195435,7026.16458885008,5.34893617021277,50.3338581001355,0,4,0,3,1700000,1.27931769722814,4.9910447761194,3.7353084770757,12388.4099202413,5.70538922155689,82.8419560943545,0,5,0,0,1700000
"43",2000,14,7,28,2,1,0,534,185,92,34,59,116,3,4,8,1,758,0,96,6,5,20,4.65168539325843,0.244063324538259,1,0,0,1,1,0,0,0,18,3,1,0,3,2,0,0,0,0,24,0,1,1,0,0,1.5,0.125,1,0,1,95,102,5950000,1.37078651685393,5.45842696629214,4.91214337404761,10963.1032544013,6.22321899736148,134.153110391773,1,1,5,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.50501672240803,5.49264214046823,5.32859851074311,9897.46597223573,5.88758465011287,154.916439819353,0,2,0,2,3300000,1.48427672955975,4.59622641509434,4.8893035244859,9208.66139540496,6.07415730337079,104.303738431591,0,2,0,13,1900000
"44",2012,3,1,0,0,0,0,181,46,16,9,22,44,3,1,2,0,241,12,21,1,2,9,2.38674033149171,0.190871369294606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,69,106,1750000,1.12707182320442,4.72486187845304,3.1283682973797,22204.6719077976,6.54522821576763,32.0100844190457,63,3,6,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1.43814432989691,4.12783505154639,4.4403505422181,11094.098436037,6.77024221453287,38.5570144181852,0,3,3,56,1075000,1.48017621145374,4.1647577092511,4.35027611638525,11282.9414727437,6.0565349544073,43.0643786576036,0,5,0,62,875000
"45",2001,2,3,5,0,0,0,225,87,44,14,46,47,6,6,2,0,357,6,53,1,2,2,5.28,0.243697478991597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,63,96,1520000,1.77333333333333,6.05333333333333,6.46895537815126,9090.35780272411,5.56806722689076,69.8183855216553,44,3,12,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.48421052631579,4.46315789473684,4.31222951847704,10235.0695260301,6.08085106382979,36.8557870067106,0,4,3,41,1520000,1.77777777777778,5.57037037037037,6.36296922310757,11544.7544094596,5.92589641434263,47.4475796985774,0,5,3,56,1450000
"46",2009,14,13,34,6,2,0,695,245,83,17,43,181,1,7,5,0,969,0,88,11,9,14,3.22446043165468,0.252837977296182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,65,95,9e+06,1.2431654676259,3.2,3.45161605541573,14730.2534876694,7.0594427244582,111.962803177881,0,0,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.11044776119403,2.8865671641791,2.75410432835821,19299.2411128616,7.17777777777778,85.874412454302,0,3,1,0,6e+06,1.52054794520548,5.40890410958904,5.59185067758743,7951.58748974669,6.05011286681716,78.1274377066456,0,1,1,4,4e+06
"47",2004,0,0,0,0,0,0,36,12,7,0,9,7,0,1,2,0,56,1,7,0,2,1,5.25,0.214285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,72,100,3500000,1.75,4.78333333333333,5.46622589285714,9523.23198380621,4.54285714285714,5.80939406360765,9,0,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1.44915254237288,5.79322033898305,5.72317194623027,8652.80858048632,5.7448275862069,29.8305072918847,0,4,2,26,3500000,1.48,4.02666666666667,4.35405191616766,14284.8479757093,6.04670658682635,41.1686429770428,0,4,2,66,3500000
"48",2000,7,4,15,0,0,0,402,116,49,18,46,112,4,4,2,1,559,4,54,8,3,7,3.2910447761194,0.207513416815742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,99,3e+05,1.2089552238806,4.25970149253731,3.34509843804235,15039.904225854,6.85974955277281,73.6822358230331,22,3,2,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.27450980392157,5.76862745098039,4.07425169048928,8956.44608025387,6.46542056074766,35.9759202149787,0,1,3,9,207500,1.57377049180328,4.77377049180328,5.54891172761664,12299.665604764,6.45494505494506,15.5405952426037,0,1,3,0,2e+05
