"","l_W","l_L","l_GS","l_CG","l_SHO","l_IPouts","l_H","l_ER","l_HR","l_BB","l_SO","l_WP","l_HBP","l_BFP","l_R","l_SH","l_SF","l_GIDP","round","po_L","po_GS","po_IPouts","po_H","po_ER","po_HR","po_BB","po_SO","po_BFP","po_R","GP","salary","kwERA","BSR","l_GM","attendance.f","career","b1.WHIP","b1.FIP","b1.kwERA","b1.BSR","b1.round","b1.l_GM","b2.WHIP","b2.kwERA","b2.BSR","b2.round"
"31",2,5,0,0,0,181,68,28,6,35,47,1,2,282,35,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,850000,6.20851063829787,43.1056088484508,59,3,6,1.30645161290323,4.53064516129032,6.36829971181556,49.1140921055661,0,62,1.5928338762215,5.47877461706783,82.6733808901174,0
"32",1,5,0,0,0,224,68,22,4,23,43,2,5,314,33,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,9e+05,6.08789808917197,30.4380861431475,65,0,7,1.70718232044199,4.32707182320442,6.20851063829787,43.1056088484508,0,59,1.30645161290323,6.36829971181556,49.1140921055661,0
"33",1,5,0,0,0,115,52,28,6,18,28,4,2,188,32,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,9e+05,6.16595744680851,35.8809643416481,39,3,8,1.21875,3.74910714285714,6.08789808917197,30.4380861431475,0,65,1.70718232044199,6.20851063829787,43.1056088484508,0
"34",1,1,0,0,0,112,45,18,4,19,32,3,2,174,19,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,392500,6.29655172413793,28.0900799095972,36,1,2,1.39622641509434,4.99245283018868,5.87787610619469,32.7230443829445,0,46,1.14084507042254,6.56129032258065,8.64444791883816,0
"35",3,2,0,0,0,119,30,13,4,18,42,3,0,157,13,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,392500,7.31082802547771,18.3518532038646,41,2,3,1.71428571428571,4.40535714285714,6.29655172413793,28.0900799095972,0,36,1.39622641509434,5.87787610619469,32.7230443829445,0
"36",4,1,0,0,0,141,50,18,6,15,46,0,2,204,21,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,875000,7.10588235294118,30.0110302745834,44,1,4,1.21008403361345,3.67899159663866,7.31082802547771,18.3518532038646,0,41,1.71428571428571,6.29655172413793,28.0900799095972,0
"37",1,3,0,0,0,142,48,34,7,25,46,2,3,216,38,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,875000,6.45555555555556,34.3782705609217,45,1,5,1.38297872340426,3.98723404255319,7.10588235294118,30.0110302745834,0,44,1.21008403361345,7.31082802547771,18.3518532038646,0
"38",0,0,0,0,0,7,4,3,1,2,1,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331000,4.47692307692308,4.58279401919214,2,1,2,1.65,5.075,6.38360655737705,9.89196880411292,0,13,1.20754716981132,6.73333333333333,25.898456681866,0
"39",2,3,0,0,0,196,49,18,7,19,74,0,0,259,18,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,414800,8.04092664092664,27.6130043376404,54,2,4,2.57142857142857,10.4857142857143,4.47692307692308,4.58279401919214,0,2,1.65,6.38360655737705,9.89196880411292,0
"40",0,0,0,0,0,111,14,3,1,8,45,1,0,136,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,8.75294117647059,4.30809766813321,37,1,5,1.04081632653061,3.10816326530612,8.04092664092664,27.6130043376404,0,54,2.57142857142857,4.47692307692308,4.58279401919214,0
"41",4,1,0,0,0,200,48,13,2,23,73,0,0,268,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2535000,7.72835820895522,18.7076747259798,70,1,6,0.594594594594595,1.68648648648649,8.75294117647059,4.30809766813321,0,37,1.04081632653061,8.04092664092664,27.6130043376404,0
"42",5,4,0,0,0,221,44,12,5,14,74,0,0,277,13,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4400000,8.08592057761733,18.921988415573,75,1,7,1.065,2.345,7.72835820895522,18.7076747259798,0,70,0.594594594594595,8.75294117647059,4.30809766813321,0
"43",5,3,0,0,0,157,56,19,4,17,45,2,3,228,21,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5e+06,6.76842105263158,28.4251409505486,61,3,8,0.787330316742081,2.56199095022624,8.08592057761733,18.921988415573,0,75,1.065,7.72835820895522,18.7076747259798,0
"44",1,4,0,0,0,75,23,11,5,11,23,1,1,107,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7e+06,6.63364485981308,18.5653058598057,28,3,9,1.39490445859873,3.56305732484076,6.76842105263158,28.4251409505486,0,61,0.787330316742081,8.08592057761733,18.921988415573,0
"45",2,1,0,0,0,56,16,6,1,8,21,0,0,79,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7e+06,7.52658227848101,7.76532494190953,22,2,10,1.36,5.4,6.63364485981308,18.5653058598057,0,28,1.39490445859873,6.76842105263158,28.4251409505486,0
