"","yearID","stint","teamID","lgID","l_W","l_L","l_G","l_GS","l_CG","l_SHO","l_SV","l_IPouts","l_H","l_ER","l_HR","l_BB","l_SO","l_IBB","l_WP","l_HBP","l_BK","l_BFP","l_GF","l_R","l_SH","l_SF","l_GIDP","l_ERA","l_BAOpp","round","po_W","po_L","po_G","po_GS","po_CG","po_SHO","po_SV","po_IPouts","po_H","po_ER","po_HR","po_BB","po_SO","po_IBB","po_WP","po_HBP","po_BK","po_BFP","po_GF","po_R","po_SH","po_SF","po_GIDP","po_ERA","po_BAOpp","birthYear","birthCountry","throws","debut","GP","n_award","divID","Rank","G","W","attendance","PPF","salary","WHIP","FIP","ERC","ERAP","kwERA","BSR"
"1575",1999,1,24,2,5,1,68,0,0,0,0,195,71,25,4,18,54,1,5,1,0,275,21,26,1,1,8,3.46153846153846,0.258181818181818,1,0,0,2,0,0,0,0,5,1,1,0,1,1,0,0,0,0,7,0,2,1,0,0,5.4,0.142857142857143,1969,1,1,1995,0,0,1,1,162,95,2771469,105,670000,1.36923076923077,3.16923076923077,3.93320707692308,15556.0431902244,6.97090909090909,33.1490426053303
"1576",2000,1,24,2,2,7,68,0,0,0,2,241,86,46,7,31,54,6,4,2,0,352,28,52,1,4,9,5.15352697095436,0.244318181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1969,1,1,1995,0,0,1,4,162,71,2588401,102,975000,1.45643153526971,3.99668049792531,4.29855087290174,10150.2005017279,6.32045454545455,47.056840002382
"1577",2001,1,24,2,0,5,21,0,0,0,4,70,37,17,3,14,16,2,3,1,0,117,14,18,3,3,6,6.55714285714286,0.316239316239316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1969,1,1,1995,0,0,1,4,162,73,2831021,105,1300000,2.18571428571429,5.17142857142857,9.02908,8212.08916527683,5.70769230769231,25.3728588927489
"1578",2005,1,12,2,12,5,75,0,0,0,1,239,61,24,6,29,25,7,2,5,0,326,17,28,9,3,14,2.71129707112971,0.187116564417178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,8,1,2004,0,0,2,3,162,83,2034243,102,321000,1.12970711297071,4.56820083682008,2.66336064442847,19293.1024059468,5.32638036809816,31.2513046449183
"1579",2006,1,12,2,4,5,68,0,0,0,1,230,79,30,6,18,60,2,1,2,0,325,24,31,1,2,3,3.52173913043478,0.243076923076923,1,0,0,2,0,0,0,0,3,3,1,1,1,1,0,0,0,0,8,0,3,0,0,0,9,0.375,1981,8,1,2004,0,0,2,1,162,96,2285018,98,361000,1.26521739130435,3.35652173913043,3.47997935183946,14270.7860605477,6.95076923076923,37.9141905159708
"1580",2007,1,12,2,1,2,18,0,0,0,0,49,19,10,4,4,10,0,0,1,1,71,5,16,0,1,2,5.51020408163265,0.267605633802817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,8,1,2004,0,0,2,3,162,79,2296383,95,500000,1.40816326530612,6.07755102040816,5.73453118712274,8841.68266794805,6.24507042253521,14.6890589708943
"1581",2008,1,12,2,5,4,66,0,0,0,0,188,62,25,6,24,50,3,2,1,0,268,14,29,0,2,4,3.59042553191489,0.23134328358209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,8,1,2004,0,0,2,2,163,88,2302431,96,1050000,1.37234042553191,3.90212765957447,3.92639232295967,13712.1107446725,6.65373134328358,34.8338631264024
"1582",2009,1,12,2,7,4,56,0,0,0,0,155,48,27,3,27,43,3,1,5,1,230,15,28,3,3,5,4.70322580645161,0.208695652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,8,1,2004,0,0,2,1,163,87,2416237,98,1700000,1.45161290322581,3.9741935483871,4.11643029453015,10685.8542965454,6.1304347826087,25.4547561246786
"1583",2010,1,12,2,1,1,71,0,0,0,1,204,53,23,5,27,62,4,3,1,0,278,16,27,3,0,6,3.04411764705882,0.190647482014388,1,0,1,1,0,0,0,0,1,3,2,1,0,0,0,0,0,0,4,0,2,0,0,0,54,0.75,1981,8,1,2004,0,0,2,1,162,94,3223640,100,2000000,1.17647058823529,3.39117647058824,2.71223203554803,16846.8058119965,7.04028776978417,27.5595057190307
"1584",2011,1,3,2,8,3,67,0,0,0,1,196,50,19,7,31,70,5,0,0,1,268,11,20,1,3,3,2.61734693877551,0.186567164179104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,8,1,2004,0,0,2,3,162,79,2001117,100,4000000,1.23979591836735,3.64387755102041,3.08342550544472,19593.756604871,7.37014925373134,31.7440495837459
"1585",2012,1,3,2,2,3,51,0,0,0,0,144,29,13,5,23,60,1,4,1,0,194,6,14,0,0,1,2.4375,0.149484536082474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,8,1,2004,0,0,2,2,162,85,1965955,106,4500000,1.08333333333333,3.49166666666667,2.3847168814433,22301.8167798991,7.68865979381443,19.1851533468399
"1586",2013,1,3,2,2,3,38,0,0,0,0,110,31,3,0,11,46,1,0,1,0,152,5,6,2,0,1,0.736363636363636,0.203947368421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,8,1,2004,0,0,2,5,162,63,1768413,107,4500000,1.14545454545455,1.59090909090909,2.27205188098086,74519.5882576073,8.16315789473684,9.96534155047747
"1587",2011,1,11,2,0,1,5,0,0,0,0,25,6,1,1,1,6,0,0,0,0,31,3,1,0,0,1,1.08,0.193548387096774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1979,1,2,2010,0,0,1,3,162,74,1476791,98,414000,0.84,3.68,1.80670677419355,46535.1719365687,7.33548387096774,3.17907493858924
"1588",2001,1,4,2,3,0,8,7,0,0,0,108,40,19,3,13,25,0,2,2,0,161,1,19,0,1,2,4.75,0.248447204968944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1977,1,1,2000,0,0,3,2,161,82,2625333,101,200000,1.47222222222222,4.14444444444444,4.59899572981366,10904.5253594864,6.14534161490683,21.3416893936564
